Listing_ID,Source,Locality,Sub_Region,Locality_Tier,Society_Name,Rent,BHK,Bathroom,Floor,Total Floors,Carpet_Area_SqFt,Furnishing,Tenant_Type,Property_Type,Property_Age_Category,Property_Age_Years,Posted_Date,Rent_Per_SqFt,Rent_Annual,Rent_Band,Area_Band,Rate_Quality_Flag,Absolute_Price_Flag,Rate_Ceiling_Flag,Data_Quality_Flag
LST-001,99acres,Andheri East,Western Line,Mid Suburb,Pump House Society,48000.00,1,2,3,7,450,Furnished,Family Only,Apartment,10+ Years,10,2026-06-20,106.67,576000,Mid,Compact,Normal,Normal,Normal,Pass
LST-002,99acres,Andheri West,Western Line,Mid Suburb,Arena Apartment,55000.00,1,2,6,7,570,Furnished,All,Apartment,10+ Years,10,2026-04-25,96.49,660000,Mid,Medium,Normal,Normal,Normal,Pass
LST-003,99acres,Andheri East,Western Line,Mid Suburb,Charat Singh Colony,90000.00,2,2,3,12,700,Furnished,All,Apartment,1-5 Years,3,2026-06-04,128.57,1080000,Premium,Medium,Normal,Normal,Normal,Pass
LST-004,99acres,Andheri East,Western Line,Mid Suburb,Lodha Eternis,77999.00,2,2,6,9,642,Unfurnished,All,Apartment,Unknown,,2026-06-09,121.49,935988,Premium,Medium,Normal,Normal,Normal,Pass
LST-005,99acres,Andheri West,Western Line,Mid Suburb,Runwal Elegante,250000.00,3,4,15,33,1318,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-20,189.68,3000000,Luxury,Spacious,Normal,Normal,Normal,Pass
LST-006,99acres,Andheri East,Western Line,Mid Suburb,L&T,82000.00,2,2,2,26,635,Furnished,All,Apartment,1-5 Years,3,2026-05-25,129.13,984000,Premium,Medium,Normal,Normal,Normal,Pass
LST-007,99acres,Andheri West,Western Line,Mid Suburb,Kabra Metro One,155000.00,3,3,11,21,1250,Semi-Furnished,All,Apartment,Unknown,,2026-06-20,124.00,1860000,Luxury,Spacious,Normal,Normal,Normal,Pass
LST-008,99acres,Andheri West,Western Line,Mid Suburb,Broklyn Hill,130000.00,3,3,8,12,1100,Furnished,All,Apartment,10+ Years,10,2026-05-04,118.18,1560000,Luxury,Large,Normal,Normal,Normal,Pass
LST-009,99acres,Andheri West,Western Line,Mid Suburb,Transcon Triumph,115000.00,2,2,20,35,660,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-11,174.24,1380000,Luxury,Medium,Normal,Normal,Normal,Pass
LST-010,99acres,Andheri West,Western Line,Mid Suburb,Legend Apartment,70000.00,2,2,3,7,720,Semi-Furnished,Family Only,Apartment,10+ Years,10,2026-05-20,97.22,840000,Premium,Medium,Normal,Normal,Normal,Pass
LST-011,99acres,Andheri East,Western Line,Mid Suburb,Kalpataru Vivant,75000.00,2,2,11,22,618,Semi-Furnished,All,Apartment,Unknown,,2026-06-19,121.36,900000,Premium,Medium,Normal,Normal,Normal,Pass
LST-012,99acres,Andheri East,Western Line,Mid Suburb,Mahindra Vivante,125000.00,3,3,9,12,1100,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-11,113.64,1500000,Luxury,Large,Normal,Normal,Normal,Pass
LST-013,99acres,Andheri East,Western Line,Mid Suburb,Savvy Merushikar,110000.00,3,3,9,15,1100,Semi-Furnished,All,Apartment,Unknown,,2026-06-09,100.00,1320000,Luxury,Large,Normal,Normal,Normal,Pass
LST-014,99acres,Andheri West,Western Line,Mid Suburb,HDIL Metropolis Residences,94000.00,2,2,11,27,1185,Semi-Furnished,All,Apartment,Unknown,,2026-06-19,79.32,1128000,Premium,Large,Normal,Normal,Normal,Pass
LST-015,99acres,Andheri West,Western Line,Mid Suburb,Gurukrupa Dhyanam,120000.00,2,2,11,17,731,Semi-Furnished,All,Apartment,0-1 Year,1,2026-06-20,164.16,1440000,Luxury,Medium,Normal,Normal,Normal,Pass
LST-016,99acres,Andheri West,Western Line,Mid Suburb,HDIL Metropolis Residences,133000.00,3,3,15,27,1350,Semi-Furnished,All,Apartment,Unknown,,2026-06-19,98.52,1596000,Luxury,Spacious,Normal,Normal,Normal,Pass
LST-017,99acres,Andheri East,Western Line,Mid Suburb,Maxima by Oberoi Realty,210000.00,3,3,14,29,1381,Unfurnished,All,Apartment,1-5 Years,3,2026-06-12,152.06,2520000,Luxury,Spacious,Normal,Normal,Normal,Pass
LST-018,99acres,Andheri West,Western Line,Mid Suburb,Transcon Triumph,120000.00,2,2,19,35,680,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-11,176.47,1440000,Luxury,Medium,Normal,Normal,Normal,Pass
LST-019,99acres,Andheri East,Western Line,Mid Suburb,Savvy Merushikar,80000.00,2,2,7,15,755,Semi-Furnished,All,Apartment,1-5 Years,3,2026-06-09,105.96,960000,Premium,Medium,Normal,Normal,Normal,Pass
LST-020,99acres,Andheri West,Western Line,Mid Suburb,Royal Resort Tower,140000.00,3,3,10,25,1300,Semi-Furnished,Family Only,Apartment,10+ Years,10,2026-06-15,107.69,1680000,Luxury,Spacious,Normal,Normal,Normal,Pass
LST-021,99acres,Andheri East,Western Line,Mid Suburb,Avant Heritage,65000.00,2,2,7,24,710,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-11,91.55,780000,Premium,Medium,Normal,Normal,Normal,Pass
LST-022,99acres,Andheri West,Western Line,Mid Suburb,Poseidon Apartment,70000.00,2,2,19,20,750,Unfurnished,All,Apartment,5-10 Years,7.5,2026-05-08,93.33,840000,Premium,Medium,Normal,Normal,Normal,Pass
LST-023,99acres,Andheri West,Western Line,Mid Suburb,Sunteck Gilbird CHSL,68000.00,2,2,10,14,725,Semi-Furnished,All,Apartment,Unknown,,2026-06-20,93.79,816000,Premium,Medium,Normal,Normal,Normal,Pass
LST-024,99acres,Andheri West,Western Line,Mid Suburb,Adani Western Heights,130000.00,2,2,15,29,932,Semi-Furnished,All,Apartment,Unknown,,2026-06-19,139.48,1560000,Luxury,Large,Normal,Normal,Normal,Pass
LST-025,99acres,Andheri West,Western Line,Mid Suburb,Runwal Elegante,200000.00,3,3,11,33,1560,Semi-Furnished,All,Apartment,Unknown,,2026-06-22,128.21,2400000,Luxury,Spacious,Normal,Normal,Normal,Pass
